pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.0454545454545455	0.250712701932214	0.705165905919638	4.29355567362908	0	123	NNT, SUCLA2, NDUFS1, DLD, COQ10A, COX8A, SLC16A1, L2HGDH, PDHB, NDUFS7, PDHX, SDHC, PDK2, NDUFA4, NDUFB3, UQCRFS1, NDUFA10, ETFDH, UQCRC2, PDP1, IDH2, NDUFS8, DLAT, SDHA, CYC1, COX7B, NDUFS3, IDH3B, NDUFA5, NDUFS4, NDUFA1, CS, UQCRQ, SDHB, VDAC1, PDHA1, CYCS, NDUFAB1, NDUFV1, COX6C, COX11, NDUFB10, NUBPL, NDUFA7, UQCRC1, SUCLG2, ADHFE1, COX6B1, NDUFA8, COX5B, NDUFS2, FH, SDHD, ME2, NDUFB2, NDUFB7, LRPPRC, LDHA, UQCRB, NDUFC2, NDUFA3, COX7C, NDUFB6, NDUFB5, UQCR11, SUCLG1, NDUFA13, ACO2, ETFA, NDUFB4, FAHD1, TACO1, NDUFA6, MDH2, NDUFB11, NDUFAF7, NDUFA12, UQCRH, D2HGDH, COX16, COX4I1, COA1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	0.027027027027027	0.197160293934487	0.730147739323861	4.18888735070259	0	79	NDUFS1, COQ10A, COX8A, NDUFS7, SDHC, NDUFA4, NDUFB3, UQCRFS1, NDUFA10, ETFDH, UQCRC2, NDUFS8, SDHA, CYC1, COX7B, NDUFS3, NDUFA5, NDUFS4, NDUFA1, UQCRQ, SDHB, CYCS, NDUFAB1, NDUFV1, COX6C, COX11, NDUFB10, NUBPL, NDUFA7, UQCRC1, COX6B1, NDUFA8, COX5B, NDUFS2, SDHD, NDUFB2, NDUFB7, LRPPRC, UQCRB, NDUFC2, NDUFA3, COX7C, NDUFB6, NDUFB5, UQCR11, NDUFA13, ETFA, NDUFB4, TACO1, NDUFA6, NDUFB11, NDUFAF7, NDUFA12, UQCRH, COX16, COX4I1, COA1
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	0.0140845070422535	0.141676226740544	0.742379308239922	4.03709815872199	0	44	NNT, SUCLA2, DLD, SLC16A1, L2HGDH, PDHB, PDHX, SDHC, PDK2, PDP1, IDH2, DLAT, SDHA, IDH3B, CS, SDHB, VDAC1, PDHA1, SUCLG2, ADHFE1, FH, SDHD, ME2, LDHA, SUCLG1, ACO2, FAHD1, MDH2, D2HGDH, GLO1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	0.0285714285714286	0.202065564258776	0.693325699069562	3.96433242058362	0	83	NDUFS1, COQ10A, COX8A, NDUFS7, SDHC, NDUFA4, NDUFB3, UQCRFS1, NDUFA10, ETFDH, UQCRC2, NDUFS8, SDHA, CYC1, COX7B, NDUFS3, NDUFA5, NDUFS4, NDUFA1, UQCRQ, SDHB, CYCS, NDUFAB1, NDUFV1, COX6C, COX11, NDUFB10, NUBPL, NDUFA7, UQCRC1, COX6B1, NDUFA8, COX5B, NDUFS2, SDHD, NDUFB2, NDUFB7, LRPPRC, UQCRB, NDUFC2, NDUFA3, COX7C, NDUFB6, NDUFB5, UQCR11, NDUFA13, ETFA, NDUFB4, TACO1, NDUFA6, NDUFB11, NDUFAF7, NDUFA12, UQCRH, COX16, COX4I1, COA1
REACTOME_COMPLEX_I_BIOGENESIS	0.012987012987013	0.14081124355097	0.74775759487415	3.95925085033691	0	43	NDUFS1, NDUFS7, NDUFB3, NDUFA10, NDUFS8, NDUFS3, NDUFA5, NDUFS4, NDUFA1, NDUFAB1, NDUFV1, NDUFB10, NUBPL, NDUFA7, NDUFA8, NDUFS2, NDUFB2, NDUFB7, NDUFC2, NDUFA3, NDUFB6, NDUFB5, NDUFA13, NDUFB4, NDUFA6, NDUFB11, NDUFAF7, NDUFA12, COA1
REACTOME_STRIATED_MUSCLE_CONTRACTION	0.0103092783505155	0.128500689991071	0.771187807734941	3.7503710288254	0	32	ACTA1, MYL3, TPM2, MYL1, TNNI1, ACTN2, MYL2, TNNC1, TPM3, TNNT1, TPM1, MYBPC1, TNNT3, MYBPC2, TNNI2, ACTN3, TMOD4, TNNC2, NEB, DMD
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	0.00763358778625954	0.117320091899503	0.828635778789376	3.60334163667403	0	22	NNT, SUCLA2, DLD, SDHC, IDH2, SDHA, IDH3B, CS, SDHB, SUCLG2, FH, SDHD, ME2, SUCLG1, ACO2, FAHD1, MDH2
REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION	0.00694444444444444	0.112526021832953	0.827719257588005	3.44380447063722	0	20	GOT2, DLD, ALDH4A1, PDHB, PDHX, DLAT, PDHA1, NDUFAB1, DHTKD1, DDO, GRHPR, GCSH, BCKDHB, AMT, OGDH, BCKDHA
REACTOME_MUSCLE_CONTRACTION	0.05	0.26554554890387	0.493474001676071	2.95924084305844	0	121	ACTA1, MYL3, TPM2, CASQ1, MYL1, CAMK2A, TNNI1, ACTN2, MYL2, TNNC1, ATP2A1, MYLPF, ATP2B2, TPM3, TNNT1, TPM1, PLN, SCN2B, MYBPC1, KCNJ12, TNNT3, CAV3, MYBPC2, TNNI2, MYL12A, ACTN3, CAMK2G, ATP2A2, TMOD4, TRDN, TNNC2, PAK1, RYR3, ORAI1, SCN4B, NEB, MYL6B, KAT2B, DMD, SLC8A3, CASQ2, FXYD1, CAMK2B, TTN, LMOD1, SCN4A, TNNI3, ANXA6, ACTA2, CACNG6, MYL5, FGF13, CACNA2D2
REACTOME_PYRUVATE_METABOLISM	0.00694444444444444	0.112526021832953	0.686791508211205	2.85746120401452	0	20	DLD, SLC16A1, PDHB, PDHX, PDK2, PDP1, DLAT, VDAC1, PDHA1, LDHA
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	0.00694444444444444	0.112526021832953	0.668471627900689	2.78123960455731	0	20	ACADSB, DLD, IVD, HIBADH, HIBCH, ECHS1, BCKDK, ACAT1, PPM1K, ALDH6A1, ACAD8, BCKDHB, MCCC1, BCKDHA
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	0.00934579439252336	0.123162972440264	0.566304738373431	2.76233653413501	0	30	ACADM, DECR1, HADH, PCCB, ECHS1, ACOT2, ACOT11, MECR, NDUFAB1, ACOT1, ACAA2, DBI, MCEE, ACADVL, ECI1, ACADS, PCCA, ACADL
REACTOME_GLUCONEOGENESIS	0.00746268656716418	0.115817968978636	0.644113646535834	2.7445158168758	0	21	GOT2, TPI1, FBP2, MDH1, SLC25A12, ALDOA, ENO3, GOT1, SLC25A11, GPI, SLC37A4, PGK1, MDH2
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM	0.00423728813559322	0.101879263740507	0.864055670699269	2.59923585994145	0	8	GOT2, GADL1, SLC25A12, ASPA, GOT1, NAT8L
REACTOME_UBIQUINOL_BIOSYNTHESIS	0.00393700787401575	0.101879263740507	0.896181635929538	2.54037247213855	0	7	COQ2, COQ3, COQ9, COQ6, COQ5, PDSS2
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX	0.00465116279069767	0.101990851104955	0.707492305468144	2.51553309856764	0	12	DLD, PDHB, PDHX, PDK2, PDP1, DLAT, PDHA1
REACTOME_ION_HOMEOSTASIS	0.0117647058823529	0.140577822509028	0.445889706381077	2.31009826809062	0	38	CASQ1, CAMK2A, ATP2A1, ATP2B2, PLN, CAMK2G, ATP2A2, TRDN, RYR3, ORAI1, SLC8A3, CASQ2, FXYD1, CAMK2B, TNNI3
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS	0.00436681222707424	0.101879263740507	0.726826313210668	2.29974816462664	0	9	ACADM, HADH, ECHS1, MECR, ACADVL, ACADS, ACADL
REACTOME_CRISTAE_FORMATION	0.00423728813559322	0.101879263740507	0.761801000570399	2.29163530310424	0	8	CHCHD3, APOOL, APOO, IMMT, SAMM50
REACTOME_CREATINE_METABOLISM	0.0036101083032491	0.0968610414244631	0.853560150484433	2.26182211520996	0	6	CKM, CKMT2, GAMT, GATM, SLC6A8, CKB
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	0.00393700787401575	0.101879263740507	0.790949591330914	2.24207514203546	0	7	CAMK2A, ACTN2, CAMK2G, CAMK2B
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	0.00531914893617021	0.101990851104955	0.60827524272299	2.23871228590547	0	14	CAMK2A, ACTN2, APBA1, CAMK2G, NBEA, CAMK2B, TUBA1A
REACTOME_SIGNALING_BY_RETINOIC_ACID	0.00909090909090909	0.123162972440264	0.471443341271198	2.17220826935383	0	27	DLD, RXRG, PDHB, PDHX, PDK2, DLAT, PDHA1, ALDH1A2, ALDH1A1, RARB, CPT1B
REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA	0.0036101083032491	0.0968610414244631	0.818715801753533	2.16948917475473	0	6	ACADM, HADH, ECHS1, MECR
REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS	0.00847457627118644	0.119733756901899	0.704715735911713	2.11991249402294	1	8	ATP2A1, ATP2B2, ATP2A2, SLC8A3
REACTOME_CARDIAC_CONDUCTION	0.0185185185185185	0.160190244889698	0.366301963676365	2.10357380768296	0	62	CASQ1, CAMK2A, ATP2A1, ATP2B2, PLN, SCN2B, KCNJ12, CAMK2G, ATP2A2, TRDN, RYR3, ORAI1, SCN4B, KAT2B, SLC8A3, CASQ2, FXYD1, CAMK2B, SCN4A, TNNI3, CACNG6, FGF13, CACNA2D2
REACTOME_METABOLISM_OF_COFACTORS	0.00531914893617021	0.101990851104955	0.566474505553116	2.08486774762838	0	14	COQ2, COQ3, COQ9, COQ6, COQ5, IDH1, DHFR, HSP90AA1
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.0103092783505155	0.128500689991071	0.427395755155731	2.07847250942267	0	32	TPM2, MYLPF, TPM3, TPM1, CAV3, MYL12A, PAK1, MYL6B, LMOD1, ANXA6, ACTA2, MYL5
REACTOME_LONG_TERM_POTENTIATION	0.00436681222707424	0.101879263740507	0.650766051907884	2.05908620295465	0	9	CAMK2A, ACTN2, CAMK2G, CAMK2B, ERBB4
REACTOME_CHL1_INTERACTIONS	0.00353356890459364	0.0968610414244631	0.850163548828584	2.03845393294583	0	5	ANK1, NRP1, HSPA8, ITGB1, ITGA1
REACTOME_GLYCOGEN_METABOLISM	0.00806451612903226	0.119309617123907	0.453003804770271	2.02076578102305	0	23	AGL, PYGM, GYS1, UBB, PPP1R3C, PHKB, PGM1, PHKG1, PGM2L1
REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA	0.00706713780918728	0.112526021832953	0.826726133155306	1.98225757846426	1	5	ACADM, HADH, ECHS1
