Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	4388.80160205378	-0.1458071394355	0.185683857917056	-0.785244022130516	0.432310509287902	0.521632377474281
MTND2P28	31696.6225844656	-0.146934180847689	0.0632632892514703	-2.32258206277623	0.0202016152436713	0.0395484665812637
MTCO1P12	9957.11044375252	0.00496516597050317	0.100417120490259	0.0494454127569294	0.960564338251739	0.971575872921114
MTCO2P12	975.74255181613	-0.566277486796535	0.108516238634622	-5.21836633780877	1.80508171109562e-07	1.63969992303993e-06
MTATP6P1	105581.041123508	-0.110122616582267	0.0430511827107661	-2.55794637100011	0.0105292328899069	0.0227043689973095
MTCO3P12	1441.90921528598	-0.102880357247754	0.119004231570039	-0.864510075737978	0.387307747751271	0.47854285550423
LINC01128	3545.22508198931	-0.103767993117382	0.0371603774481106	-2.79243646710208	0.00523127395040425	0.0123730770561639
NOC2L	5153.10365938278	-0.0141548868180658	0.0236402785556345	-0.598761422576048	0.549331991020192	0.631437762249225
KLHL17	226.82086363499	0.106286156033497	0.0315598080317226	3.36776940869422	0.000757789478386088	0.00228784080715927
PERM1	15040.6943730077	-0.252838102100347	0.068767226549542	-3.6767238521419	0.000236248545936895	0.000834309944106031
HES4	232.685585964875	0.197188095502855	0.0597969332477046	3.2976289049142	0.000975049068733907	0.00285442605461145
ISG15	254.425980732053	0.105992956977388	0.0574114961917185	1.84619743445525	0.0648635433495052	0.10749517332616
AGRN	661.322080738239	0.0920454751026202	0.0423431905477783	2.17379639823692	0.0297204291597253	0.054995598227279
C1orf159	225.964076522796	0.128131009465287	0.0272823457543057	4.69648066992426	2.64682270656532e-06	1.65255820329821e-05
SDF4	4203.58033365707	-0.0263953522842102	0.0165931309649254	-1.59073970668976	0.11166816695654	0.170330618641026
B3GALT6	672.549442648132	-0.0407707596591365	0.0321281107671232	-1.26900582342543	0.204438987079786	0.282736883468059
UBE2J2	2044.4536706465	-0.0552772287996376	0.0199066458119961	-2.77682284206447	0.00548930896925949	0.0128956273866071
SCNN1D	270.764398747142	0.23866263830527	0.0508950716909477	4.68930743932362	2.74131262060577e-06	1.70780625329693e-05
ACAP3	2933.01839239683	0.071429862017272	0.0274932564852427	2.59808662737398	0.00937448408395849	0.0205390525204265
PUSL1	252.801552290562	-0.0241297756013431	0.0289486279849142	-0.83353779715977	0.404541490187215	0.495479526666402
INTS11	6078.42533096178	0.0786094045563682	0.019096217363343	4.11649087673594	3.84684549782045e-05	0.00017076753298047
CPTP	2253.00274956534	-0.169686229915582	0.0562422128795397	-3.01706176247044	0.00255237801823888	0.00664786421134895
DVL1	16534.2834711972	-0.0522670219466806	0.0223182521575989	-2.34189584281065	0.0191860684200826	0.0378074499233692
MXRA8	1844.3634605269	0.26428480217572	0.0494957299135053	5.33954752536355	9.3178841924352e-08	9.30317174371031e-07
AURKAIP1	5975.4976197436	-0.0658401106456365	0.0219733007488759	-2.99636870209428	0.00273215867340406	0.00704997279997394
CCNL2	6464.68332093311	0.190585777939767	0.0246286798886199	7.73836757802967	1.00701357676061e-14	1.15776045764538e-12
RP4-758J18.2	379.944675847971	-0.0358209959517426	0.024381855205293	-1.46916613400141	0.141787733464083	0.208155292440112
MRPL20	3822.04477052806	-0.039043150639024	0.0177667463680197	-2.19754083444913	0.0279818434673891	0.0522352625506872
