Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	146.971473554549	-3.35760914685955e-06	4.6704423092064e-06	-0.718906031713745	0.472198819792209	0.666013961321811
MTND2P28	146.971473554549	-6.83445741729857e-06	2.50997528978621e-06	-2.72291820764526	0.0064708076053007	0.0172554869474685
MTCO1P12	146.971473554549	-1.90902762167389e-06	2.52104092077543e-06	-0.757237855975264	0.44890737421929	0.822960738784629
MTCO2P12	146.971473554549	-3.04313194269256e-05	1.82704581598056e-05	-1.66560242555239	0.0957926277199458	0.338710087563323
MTATP6P1	146.971473554549	-5.66922846881961e-06	1.47614382514697e-06	-3.84056646259057	0.000122750732285268	0.000323686220779842
MTCO3P12	146.971473554549	-1.10808384343807e-05	1.5353081744502e-05	-0.721733826392785	0.470458140857531	0.79235055302321
LINC01128	146.971473554549	-0.000148489327370578	4.71911698592876e-05	-3.14654897967855	0.00165209587984841	0.0158404120816067
KLHL17	146.971473554549	0.00283530623502388	0.000659555531602371	4.29881351784828	1.71714872283391e-05	3.43429744566782e-05
PERM1	146.971473554549	-4.1995881803575e-05	7.03149410762102e-06	-5.97254028244981	2.33587443220244e-09	1.49495963660956e-08
HES4	146.971473554549	0.000591108277354666	0.00039399888676509	1.50027905461341	0.133542132699956	0.223588457786831
ISG15	146.971473554549	-0.000102941092928235	0.000209427114991897	-0.491536604189089	0.623046969366821	0.813390159887694
AGRN	146.971473554549	0.000818584309885383	0.000209113695509457	3.91454183759268	9.05760321056897e-05	0.000574537814933935
C1orf159	146.971473554549	0.00563911525993457	0.000679764721511096	8.29568684794203	1.07959588586184e-16	1.72735341737895e-15
SDF4	146.971473554549	0.000214680093909606	4.56227773274051e-05	4.70554636270797	2.53186955320931e-06	1.62039651405396e-05
B3GALT6	146.971473554549	0.00100386298065647	0.000197919552821666	5.07207583255301	3.9349951176027e-07	1.79885491090409e-06
UBE2J2	146.971473554549	0.000293673808866093	9.53877275565542e-05	3.07873786690198	0.00207879503978234	0.00554345343941958
SCNN1D	146.971473554549	0.0023792279128747	0.000404568633206108	5.8809005879173	4.08040195080147e-09	1.45080958250719e-08
ACAP3	146.971473554549	9.08892977206698e-05	5.56530907670348e-05	1.63314016289113	0.102439521299857	0.149002940072519
CPTP	146.971473554549	-0.00032250266081914	4.99679296207371e-05	-6.45419298471991	1.08797097223764e-10	8.70376777790111e-10
DVL1	146.971473554549	-5.86708697064605e-05	1.43666297593241e-05	-4.08382972828978	4.42994961134413e-05	0.000472527958543374
MXRA8	146.971473554549	0.000266494195261124	5.14514302631856e-05	5.17952939107711	2.22446364654999e-07	1.18638061149333e-06
AURKAIP1	146.971473554549	-4.37757065306401e-05	3.66169036065973e-05	-1.19550541468375	0.23188962197191	0.450804502082312
CCNL2	146.971473554549	0.000206523131715198	2.43725229813193e-05	8.4736049638148	2.37913270022491e-17	1.08760352010282e-16
RP4.758J18.2	146.971473554549	0.00236158870372956	0.000423720556093235	5.57345795423226	2.49731946926015e-08	2.66380743387749e-07
ATAD3B	146.971473554549	0.00178111231536525	0.000221850483787579	8.02843557046582	9.87234349385638e-16	3.51016657559338e-15
ATAD3A	146.971473554549	0.000262362613635712	0.000105719041093981	2.48169687239672	0.0130758456602098	0.0298876472233366
SSU72	146.971473554549	3.27367097083283e-05	2.26776651366016e-05	1.44356614806395	0.148861052974703	0.216525167963204
RP11.345P4.9	146.971473554549	-0.000749828132981622	0.00018167808086904	-4.12723499386876	3.6715115635635e-05	0.000130542633371147
CDK11B	146.971473554549	0.000120734239662104	3.80920528855611e-05	3.16953880182888	0.0015268107074589	0.00287399662580499
SLC35E2B	146.971473554549	0.000140439218257708	6.87969823325606e-05	2.04135724411331	0.0412153309932448	0.077581799516696
CDK11A	146.971473554549	0.000624497582891604	0.00012597933174084	4.95714316199341	7.1537265250189e-07	2.54354720889561e-06
