Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	323.949110935446	-7.80668252432231e-06	6.17896026987655e-06	-1.26342979778996	0.206434761045612	0.347679597550505
MTND2P28	323.949110935446	-1.5495707759905e-06	3.32387412009202e-06	-0.466194181850547	0.641076513541899	0.854768684722533
MTCO1P12	323.949110935446	-4.60704236975508e-06	3.33447082910088e-06	-1.38164122761192	0.167081888524239	0.608117807011452
MTCO2P12	323.949110935446	3.32933412271359e-05	2.39404824895001e-05	1.39067127163113	0.164325133020915	0.382320070724217
MTATP6P1	323.949110935446	1.76784029641204e-06	1.96950668245745e-06	0.89760563503457	0.369395833777241	0.454641026187373
MTCO3P12	323.949110935446	3.7579011987923e-05	2.01738157183757e-05	1.86276173593147	0.0624957957304606	0.405121495629077
LINC01128	323.949110935446	-2.43340291039777e-05	6.27279943883429e-05	-0.387929334283001	0.698068329133349	0.864237537227576
NOC2L	NA	NA	NA	NA	NA	NA
KLHL17	323.949110935446	-0.00460319445572857	0.000875354106814902	-5.25866551592239	1.45104546478523e-07	5.80418185914092e-07
PERM1	323.949110935446	3.93600099093279e-05	9.41355141856719e-06	4.18120729990327	2.89965348224214e-05	6.62777938798204e-05
HES4	323.949110935446	0.000101064579976189	0.000522430107552804	0.193450910495189	0.846605847552367	0.932632810868551
ISG15	323.949110935446	-0.000327813148602621	0.000277016496867834	-1.18337049348733	0.236662345986314	0.582553467043234
AGRN	323.949110935446	0.000216147524452857	0.000279610383197055	0.77303110843537	0.439503970324335	0.562565082015148
C1orf159	323.949110935446	-0.00466483280746305	0.000940416138002282	-4.96039212743893	7.03510202791666e-07	1.50082176595555e-06
SDF4	323.949110935446	-0.000273926870617164	6.05835111361377e-05	-4.521475653691	6.14100239293274e-06	2.80731537962639e-05
B3GALT6	323.949110935446	-0.00114984871983248	0.000262714370136116	-4.37680176853944	1.20433411886304e-05	4.81733647545218e-05
UBE2J2	323.949110935446	-0.00042650048909156	0.000126051793398991	-3.38353368556655	0.000715594285633182	0.00232064638424454
SCNN1D	323.949110935446	-0.00285950285534799	0.000549685917556803	-5.20206678762605	1.970843691895e-07	5.73336346733092e-07
ACAP3	323.949110935446	-0.000314451657870124	7.32757976113466e-05	-4.29134404702041	1.77594908158107e-05	5.68303706105944e-05
PUSL1	NA	NA	NA	NA	NA	NA
INTS11	NA	NA	NA	NA	NA	NA
